Tree,Branch 1,Branch 2,Branch 3,Branch 4,Branch 5,Branch 6,Branch 7,Branch 8,Branch 9,Branch 10
1,271,211,373,497,133,214,280,351,508,448
2,232,300,273,365,350,368,400,281,286,300
3,339,338,290,227,354,176,354,301,356,426
4,207,271,152,136,181,181,136,198,175,199
5,315,312,306,265,262,264,259,290,252,267
6,173,247,312,228,291,310,381,294,366,244
7,273,282,407,233,207,311,226,352,296,217
8,285,194,207,202,298,319,250,353,262,294
9,180,211,184,198,242,137,224,191,225,222
10,201,300,262,267,233,167,230,276,255,273
11,232,250,229,307,221,202,149,147,265,226
12,259,206,225,295,228,214,223,187,319,241
13,229,181,181,222,166,233,162,246,332,198
14,162,300,123,360,259,313,282,231,123,149
15,235,333,259,226,189,165,223,240,395,386
16,211,261,185,202,277,277,277,247,318,205
17,320,276,253,277,237,182,137,184,228,199
18,314,352,330,284,311,246,284,203,312,331
19,200,310,286,287,402,242,204,292,258,244
20,223,246,168,210,281,152,217,251,219,161
21,293,340,205,275,198,421,417,379,450,382
22,308,316,341,256,211,264,381,256,335,225
23,277,266,305,247,278,271,185,266,207,285
24,292,224,291,233,318,329,339,351,352,340
25,334,347,350,374,296,354,367,320,373,288
26,271,275,283,290,307,369,257,168,261,338
27,154,179,190,192,205,228,163,182,199,173