Tree,Height,Circumference,Number of Branches,Median Terminal Segment Length,Terminal Segment Length IQR,Branch Length IQR,Median Branch Length,Number Nodes
1,5,4.7,20,35,19,201,315.5,96
2,3.15,4.3,19,17.5,8.75,79,300,137
3,2.75,4.78,24,14,9.25,61.25,338.5,223
4,2.05,5.53,16,15,5.75,41,181,120
5,2.65,5.08,21,10.5,8.75,39.5,266,151
6,2.95,4,12,9.5,7,66.75,292.5,214
7,3.35,4.6,18,18,6,79.5,277.5,147
8,2.75,4.52,18,13,4.75,79.25,273.5,198
9,2.65,4.9,20,10.5,6,37.75,204.5,152
10,2.5,8.53,26,16,5.75,40.75,258.5,140
11,2.7,4.8,19,13,5,38.75,227.5,186
12,2.3,5.56,24,21,6.5,38.25,226.5,134
13,3.05,3.2,23,10,2.75,51,210,176
14,3,2.7,11,21,8.75,143.25,245,102
15,2.6,7.2,55,13.5,9,90.75,237.5,164
16,2.05,6.9,34,13,6,70.5,254,161
17,2.47,5.41,25,18.5,7,82.5,232.5,144
18,3.5,5.5,25,14,9.5,42,311.5,203
19,3.25,7.1,31,15.5,8,48.25,272,184
20,2.2,3.15,23,15,5.75,61.75,218,165
21,3.97,4.7,14,12.5,7.25,128.75,359.5,239
22,3.47,2.8,21,16.5,7,74.25,286,190
23,2.87,5.35,15,10,5.75,26,268.5,232
24,4.21,6.29,27,10,9.5,48.5,323.5,216
25,3.8,6.3,32,16.5,10.75,40.25,348.5,231
26,4.95,4.46,34,14,6,27,329,267
27,4.53,4.5,36,16,7,128.25,278.5,163